#         t          x          y          z         vx         vy         vz
      0.000   -377.740    611.480   -284.630     73.930    -72.190     48.920
      0.014   -376.680    610.440   -283.930     74.850    -73.730     50.460
      0.029   -375.620    609.400   -283.220     74.290    -75.060     52.190
      0.043   -374.570    608.350   -282.500     73.290    -74.910     52.370
      0.057   -373.520    607.300   -281.790     72.990    -74.560     52.300
      0.071   -372.470    606.250   -281.080     73.480    -75.330     51.440
      0.086   -371.410    605.190   -280.380     73.220    -76.160     51.960
      0.100   -370.350    604.120   -279.670     72.660    -76.500     52.140
      0.114   -369.290    603.040   -278.960     72.700    -76.610     52.020
      0.129   -368.230    601.970   -278.250     73.260    -76.380     50.970
      0.143   -367.160    600.890   -277.560     74.440    -76.860     50.800
      0.157   -366.080    599.800   -276.850     75.060    -77.380     51.720
      0.171   -365.000    598.710   -276.140     75.130    -78.010     52.710
      0.186   -363.930    597.620   -275.430     74.610    -77.760     52.880
      0.200   -362.860    596.520   -274.710     74.650    -77.240     52.360
      0.214   -361.780    595.430   -274.000     74.890    -77.790     51.530
      0.229   -360.720    594.330   -273.290     74.680    -78.110     51.470
      0.243   -359.650    593.230   -272.590     73.710    -78.160     50.680
      0.257   -358.590    592.130   -271.900     73.890    -78.160     50.420
      0.271   -357.530    591.020   -271.200     73.520    -78.720     51.270
      0.286   -356.470    589.900   -270.500     71.730    -80.380     51.240
      0.300   -355.420    588.760   -269.800     71.220    -79.910     50.500
      0.314   -354.360    587.620   -269.100     71.630    -79.620     49.710
      0.329   -353.310    586.470   -268.400     71.500    -80.090     49.420
      0.343   -352.260    585.320   -267.710     71.750    -80.950     49.380
      0.357   -351.210    584.150   -267.020     70.920    -82.080     49.730
      0.371   -350.180    582.980   -266.320     70.250    -82.580     50.130
      0.386   -349.150    581.810   -265.630     69.320    -82.180     49.890
      0.400   -348.130    580.630   -264.940     68.400    -82.360     49.460
      0.414   -347.120    579.450   -264.250     68.370    -81.630     49.070
      0.429   -346.120    578.260   -263.560     67.950    -82.190     46.520
      0.443   -345.120    577.070   -262.890     67.560    -82.190     45.490
      0.457   -344.140    575.870   -262.210     67.130    -82.360     44.540
      0.471   -343.160    574.670   -261.540     67.920    -82.690     44.260
      0.486   -342.180    573.460   -260.860     68.700    -83.140     45.110
      0.500   -341.210    572.250   -260.180     67.880    -84.000     45.260
      0.514   -340.240    571.030   -259.500     67.240    -83.400     46.170
      0.529   -339.290    569.820   -258.810     66.370    -82.810     45.440
      0.543   -338.340    568.620   -258.130     65.650    -82.930     44.590
      0.557   -337.400    567.400   -257.460     66.180    -83.320     44.560
      0.571   -336.460    566.190   -256.780     65.910    -83.460     45.130
      0.586   -335.540    564.980   -256.100     65.220    -83.770     45.490
      0.600   -334.630    563.770   -255.430     64.550    -83.560     45.170
      0.614   -333.720    562.560   -254.770     64.260    -83.220     45.090
      0.629   -332.830    561.370   -254.110     63.170    -83.040     44.420
      0.643   -331.960    560.180   -253.450     62.610    -83.260     44.530
      0.657   -331.100    558.990   -252.810     61.100    -83.100     43.920
      0.671   -330.250    557.810   -252.170     60.990    -82.320     43.440
      0.686   -329.410    556.640   -251.540     60.530    -82.150     42.680
      0.700   -328.580    555.470   -250.920     59.040    -82.170     43.480
      0.714   -327.760    554.310   -250.300     57.940    -81.900     43.650
      0.729   -326.960    553.150   -249.690     57.280    -82.390     43.250
      0.743   -326.160    551.980   -249.080     56.370    -81.830     42.860
      0.757   -325.370    550.830   -248.470     54.900    -81.230     42.920
      0.771   -324.590    549.680   -247.870     53.990    -80.920     42.700
      0.786   -323.820    548.530   -247.270     52.620    -80.640     43.290
      0.800   -323.070    547.390   -246.670     50.920    -80.140     43.290
      0.814   -322.340    546.260   -246.080     49.420    -79.240     42.650
      0.829   -321.610    545.140   -245.500     48.390    -77.670     42.750
      0.843   -320.900    544.040   -244.920     46.340    -76.870     42.350
      0.857   -320.200    542.950   -244.340     45.670    -75.220     41.840
      0.871   -319.510    541.870   -243.770     45.350    -74.100     40.810
      0.886   -318.830    540.810   -243.200     45.170    -73.260     40.170
      0.900   -318.150    539.740   -242.630     45.970    -72.980     39.880
      0.914   -317.470    538.690   -242.050     46.350    -72.470     40.110
      0.929   -316.790    537.650   -241.470     45.950    -72.110     40.230
      0.943   -316.130    536.610   -240.870     45.750    -71.030     41.040
      0.957   -315.470    535.590   -240.270     45.290    -70.690     41.410
      0.971   -314.820    534.560   -239.660     45.100    -70.150     41.790
      0.986   -314.160    533.550   -239.040     45.750    -68.960     43.090
      1.000   -313.500    532.550   -238.410     45.080    -68.830     43.260
      1.014   -312.850    531.560   -237.780     44.370    -68.560     43.630
      1.029   -312.200    530.570   -237.140     43.530    -68.250     45.300
      1.043   -311.570    529.590   -236.480     43.010    -68.030     46.730
      1.057   -310.930    528.620   -235.820     43.140    -66.810     47.990
      1.071   -310.290    527.670   -235.140     43.180    -66.150     49.060
      1.086   -309.650    526.720   -234.450     43.270    -65.340     49.250
      1.100   -309.010    525.780   -233.760     43.810    -64.680     49.910
      1.114   -308.360    524.850   -233.050     44.510    -63.960     49.790
      1.129   -307.710    523.920   -232.330     45.420    -63.980     49.620
      1.143   -307.060    522.990   -231.620     45.500    -64.160     49.850
      1.157   -306.410    522.070   -230.890     45.550    -64.190     50.250
      1.171   -305.760    521.160   -230.160     46.500    -63.720     50.600
      1.186   -305.100    520.250   -229.420     47.540    -63.800     52.270
      1.200   -304.430    519.350   -228.660     47.580    -63.320     54.260
      1.214   -303.760    518.460   -227.890     47.950    -63.600     55.190
      1.229   -303.090    517.560   -227.110     47.230    -63.390     56.090
      1.243   -302.420    516.670   -226.320     47.230    -62.980     56.430
      1.257   -301.740    515.780   -225.530     47.450    -63.210     57.040
      1.271   -301.060    514.890   -224.730     46.830    -62.500     57.670
      1.286   -300.380    514.010   -223.910     47.580    -61.260     57.700
      1.300   -299.680    513.140   -223.110     48.430    -60.930     56.990
      1.314   -298.980    512.270   -222.300     49.990    -61.050     57.680
      1.329   -298.250    511.410   -221.480     50.890    -60.240     58.840
      1.343   -297.520    510.560   -220.660     51.380    -60.620     59.030
      1.357   -296.780    509.690   -219.830     52.340    -61.140     59.430
      1.371   -296.030    508.820   -218.990     52.690    -62.340     59.860
      1.386   -295.270    507.940   -218.140     53.300    -62.640     60.540
      1.400   -294.510    507.060   -217.290     54.190    -62.540     61.030
      1.414   -293.740    506.180   -216.430     54.480    -62.780     62.010
      1.429   -292.960    505.290   -215.550     55.050    -63.260     63.010
      1.443   -292.170    504.400   -214.670     56.040    -63.080     63.850
      1.457   -291.370    503.510   -213.770     55.920    -63.290     64.650
      1.471   -290.560    502.620   -212.880     56.860    -62.660     64.100
      1.486   -289.730    501.730   -211.980     58.000    -62.780     63.620
      1.500   -288.890    500.840   -211.090     58.460    -62.870     63.080
      1.514   -288.050    499.940   -210.190     58.540    -62.880     62.960
      1.529   -287.210    499.040   -209.290     58.680    -62.380     63.130
      1.543   -286.360    498.150   -208.380     59.170    -62.230     63.900
      1.557   -285.500    497.250   -207.470     60.150    -63.040     64.500
      1.571   -284.640    496.340   -206.550     60.580    -63.550     64.310
      1.586   -283.760    495.440   -205.630     61.860    -63.220     64.030
      1.600   -282.870    494.520   -204.710     62.170    -63.840     64.390
      1.614   -281.980    493.610   -203.780     62.240    -64.050     64.810
      1.629   -281.080    492.680   -202.840     63.230    -64.410     64.760
      1.643   -280.170    491.750   -201.900     64.570    -64.580     64.870
      1.657   -279.250    490.820   -200.950     65.530    -65.330     65.260
      1.671   -278.330    489.870   -200.000     66.110    -65.730     65.490
      1.686   -277.390    488.930   -199.030     67.390    -66.680     65.940
      1.700   -276.460    487.970   -198.060     68.430    -67.250     65.820
      1.714   -275.500    487.010   -197.090     70.210    -67.950     66.470
      1.729   -274.530    486.040   -196.110     71.050    -68.140     66.910
      1.743   -273.560    485.070   -195.130     71.830    -68.660     67.260
      1.757   -272.570    484.100   -194.150     72.790    -69.680     67.820
      1.771   -271.580    483.120   -193.160     73.780    -69.540     67.720
      1.786   -270.570    482.140   -192.180     74.280    -69.190     68.460
      1.800   -269.550    481.170   -191.190     74.520    -69.560     69.050
      1.814   -268.530    480.180   -190.200     74.600    -70.390     69.020
      1.829   -267.500    479.200   -189.220     75.590    -70.260     69.130
      1.843   -266.460    478.210   -188.230     75.650    -70.470     69.470
      1.857   -265.420    477.220   -187.240     75.650    -70.430     69.710
      1.871   -264.360    476.220   -186.260     77.150    -70.780     70.220
      1.886   -263.280    475.230   -185.260     78.130    -70.860     70.990
      1.900   -262.200    474.230   -184.260     78.210    -71.690     71.460
      1.914   -261.120    473.220   -183.260     78.270    -72.140     72.030
      1.929   -260.030    472.210   -182.250     78.780    -73.040     71.770
      1.943   -258.930    471.190   -181.250     78.830    -73.230     71.900
      1.957   -257.830    470.170   -180.250     79.070    -73.150     72.130
      1.971   -256.720    469.140   -179.240     78.860    -74.040     71.930
